zone_num,household_code,survey_date,household_size,type_residency,name_water_point,sex_head_household,religion_head_household,marital_status_head_household,name_surveyor
32,13103,21072021,4,suburban,Supermont,female,Catholic,common-law,DONG
32,13201,25072021,6,suburban,Supermont,female,Catholic,common-law,NSAN
32,13202,25072021,3,suburban,Supermont,female,Catholic,common-law,DONG
32,13203,25072021,4,suburban,Supermont,female,Catholic,common-law,DONG
32,13204,25072021,6,suburban,Supermont,female,Catholic,married,DONG
32,13205,25072021,6,suburban,Supermont,female,Muslim,married,DONG
32,13206,25072021,4,suburban,Supermont,female,Other,common-law,DONG
32,13207,25072021,5,suburban,Supermont,female,Catholic,common-law,DONG
32,13208,28072021,4,suburban,Supermont,female,Protestant,common-law,DONG
32,13209,25072021,4,suburban,Supermont,female,Catholic,common-law,DONG
32,13210,25072021,5,suburban,Minsole 1,male,Catholic,common-law,DONG
32,13211,25072021,5,suburban,Supermont,male,Other,married,DONG
32,13212,25072021,6,suburban,Supermont,female,Catholic,common-law,DONG
32,13213,25072021,5,suburban,Supermont,female,Catholic,single,DONG
32,13214,25072021,12,suburban,Supermont,male,Catholic,married,DONG
32,13215,25072021,4,suburban,Minsole 1,male,Traditionnel,common-law,DONG
34,13401,29072021,4,suburban,Behind Carousel,male,Traditionnel,common-law,NSAN
34,13402,29072021,5,suburban,Behind Carousel,female,Catholic,common-law,NSAN
34,13403,23072021,14,suburban,Behind Carousel,male,Traditionnel,common-law,NSAN
34,13404,29072021,7,suburban,Supermont,female,Protestant,single,RODR
34,13405,29072021,7,suburban,Behind Carousel,female,Catholic,single,NSAN
34,13406,29072021,7,suburban,Behind Carousel,female,Catholic,common-law,NSAN
35,13501,23072021,5,suburban,Minsole 1,female,Protestant,married,LIAP
35,13502,23072021,13,suburban,Minsole 1,female,Catholic,single,LIAP
35,13503,23072021,6,suburban,Minsole 1,male,Other,single,LIAP
35,13504,23072021,6,suburban,Minsole 1,male,Other,single,LIAP
35,13505,23072021,4,suburban,Minsole 1,male,none,single,LIAP
35,13506,23072021,6,suburban,Minsole 1,male,Protestant,married,LIAP
35,13507,23072021,6,suburban,Minsole 1,male,Protestant,single,LIAP
35,13508,23072021,5,suburban,Minsole 1,male,Catholic,married,LIAP
35,13509,23072021,4,suburban,Minsole 1,male,Catholic,single,LIAP
35,13510,23072021,5,suburban,Minsole 1,male,Muslim,single,LIAP
35,13511,23072021,7,suburban,Minsole 1,male,Catholic,single,LIAP
35,13512,23072021,5,suburban,Minsole 1,female,Protestant,married,LIAP
36,13601,23072021,10,suburban,Nkie riviere,female,Catholic,married,ATSA
36,13602,23072021,8,suburban,Nkie riviere,female,Other,common-law,ATSA
36,13603,27072021,8,suburban,Nkie riviere,female,Other,single,ATSA
36,13604,24072021,5,suburban,Supermont,female,Catholic,married,ATSA
36,13605,24072021,9,suburban,Elig Mbida Medoumba,female,Catholic,married,ATSA
36,13606,24072021,8,suburban,Elig Mbida Medoumba,female,Protestant,married,ATSA
36,13607,24072021,9,suburban,Nkie riviere,female,Catholic,married,ATSA
38,13801,23072021,5,suburban,Supermont,female,Catholic,common-law,HONO
38,13802,23072021,5,suburban,Supermont,female,Catholic,common-law,HONO
38,13803,23072021,7,suburban,Supermont,female,Catholic,married,HONO
38,13804,23072021,4,suburban,Supermont,female,Catholic,common-law,HONO
38,13805,23072021,5,suburban,Supermont,female,Catholic,married,HONO
